Timestamp,OS,Machine_ID,Hostname,RAM_Usage_MB,Swap_Usage_MB,CPU_Usage,Page_Faults_Delta
1747422108.350919,Windows,BT7274_BT7274,BT7274,11740.94140625,15538.85546875,11.1,4375
1747422108.9376695,Windows,BT7274_BT7274,BT7274,11740.52734375,15538.76171875,9.8,5792
1747422109.5491772,Windows,BT7274_BT7274,BT7274,11738.6328125,15538.3984375,13.0,5792
1747422110.0520735,Windows,BT7274_BT7274,BT7274,11733.70703125,15538.76171875,14.3,4472
1747422110.5652218,Windows,BT7274_BT7274,BT7274,11734.53515625,15538.97265625,12.9,4472
1747422111.189294,Windows,BT7274_BT7274,BT7274,11730.17578125,15538.88671875,10.6,4472
1747422111.785308,Windows,BT7274_BT7274,BT7274,11720.4609375,15540.41796875,10.5,3445
1747422112.2860773,Windows,BT7274_BT7274,BT7274,11720.4609375,15539.76953125,14.3,3445
1747422112.795518,Windows,BT7274_BT7274,BT7274,11718.375,15539.94140625,9.2,4169
1747422113.4200373,Windows,BT7274_BT7274,BT7274,11706.0859375,15540.17578125,11.6,4169
1747422114.0113912,Windows,BT7274_BT7274,BT7274,11704.328125,15540.34375,12.0,4357
1747422114.5269778,Windows,BT7274_BT7274,BT7274,11703.38671875,15540.66015625,14.7,4357
1747422115.1227624,Windows,BT7274_BT7274,BT7274,11703.3671875,15540.921875,8.7,4357
1747422115.748349,Windows,BT7274_BT7274,BT7274,11703.37109375,15540.65625,13.1,3660
1747422116.2494822,Windows,BT7274_BT7274,BT7274,11703.38671875,15540.4921875,11.5,3660
1747422116.7603567,Windows,BT7274_BT7274,BT7274,11703.33203125,15540.72265625,15.9,4329
1747422117.3720994,Windows,BT7274_BT7274,BT7274,11703.3125,15535.7421875,10.4,4329
1747422117.9805412,Windows,BT7274_BT7274,BT7274,11703.25,15535.5703125,11.3,4329
1747422118.5067863,Windows,BT7274_BT7274,BT7274,11701.96875,15484.75,20.7,4277
1747422119.0117729,Windows,BT7274_BT7274,BT7274,11701.96875,15484.75,20.7,4277
1747422119.5804229,Windows,BT7274_BT7274,BT7274,11697.265625,15383.125,18.4,4227
1747422120.0908477,Windows,BT7274_BT7274,BT7274,11697.265625,15383.125,18.4,4227
1747422120.6118917,Windows,BT7274_BT7274,BT7274,11688.02734375,15386.30859375,17.2,3318
1747422121.1180367,Windows,BT7274_BT7274,BT7274,11688.02734375,15386.30859375,17.2,3318
1747422121.6494572,Windows,BT7274_BT7274,BT7274,11702.38671875,15344.72265625,17.0,3515
1747422122.155172,Windows,BT7274_BT7274,BT7274,11675.203125,15219.66796875,16.9,3515
1747422122.7101343,Windows,BT7274_BT7274,BT7274,11665.74609375,15194.48046875,14.1,3448
1747422123.2408564,Windows,BT7274_BT7274,BT7274,11655.265625,15142.3671875,15.4,3448
1747422123.7902153,Windows,BT7274_BT7274,BT7274,11642.4765625,15136.6796875,18.5,4366
1747422124.3042235,Windows,BT7274_BT7274,BT7274,11620.53515625,15136.875,16.7,4366
1747422124.8341188,Windows,BT7274_BT7274,BT7274,11626.60546875,15136.859375,19.1,3378
1747422125.3483217,Windows,BT7274_BT7274,BT7274,11626.60546875,15136.859375,19.1,3378
1747422125.8680186,Windows,BT7274_BT7274,BT7274,11627.42578125,15119.328125,13.7,3698
1747422126.4016378,Windows,BT7274_BT7274,BT7274,11627.390625,15130.12109375,15.0,3698
1747422126.9342957,Windows,BT7274_BT7274,BT7274,11628.62109375,15130.71484375,18.0,3551
1747422127.4465697,Windows,BT7274_BT7274,BT7274,11626.9921875,15131.10546875,16.8,3551
1747422127.9747684,Windows,BT7274_BT7274,BT7274,11626.52734375,15131.390625,18.1,3433
1747422128.4885767,Windows,BT7274_BT7274,BT7274,11628.53125,15131.375,18.1,3433
1747422129.023424,Windows,BT7274_BT7274,BT7274,11627.27734375,15129.7734375,13.7,4127
1747422129.5365953,Windows,BT7274_BT7274,BT7274,11626.60546875,15114.125,14.8,4127
1747422130.0899544,Windows,BT7274_BT7274,BT7274,11620.5703125,15114.5703125,16.4,3282
1747422130.680923,Windows,BT7274_BT7274,BT7274,11620.78515625,15114.33203125,15.2,3282
1747422131.2749233,Windows,BT7274_BT7274,BT7274,11619.375,15113.65234375,19.7,3414
1747422131.790741,Windows,BT7274_BT7274,BT7274,11524.578125,15113.66796875,18.8,3414
1747422132.3157845,Windows,BT7274_BT7274,BT7274,11519.4375,15112.5,15.9,3467
